#1/cm,e1,e2
,,
1477.21,-24.307,66.347
1475.28,-24.336,66.461
1473.35,-24.365,66.574
1471.42,-24.393,66.688
1469.49,-24.422,66.803
1467.56,-24.451,66.917
1465.64,-24.479,67.032
1463.71,-24.508,67.147
1461.78,-24.537,67.263
1457.92,-24.596,67.495
1455.99,-24.625,67.612
1454.06,-24.654,67.729
1452.14,-24.683,67.845
1450.21,-24.713,67.963
1448.28,-24.742,68.081
1446.35,-24.771,68.2
1444.42,-24.801,68.318
1442.49,-24.831,68.438
1440.57,-24.86,68.556
1438.64,-24.89,68.676
1434.78,-24.95,68.917
1432.85,-24.98,69.038
1430.92,-25.01,69.159
1428.99,-25.04,69.281
1427.07,-25.07,69.402
1425.14,-25.1,69.524
1423.21,-25.13,69.647
1421.28,-25.16,69.77
1419.35,-25.191,69.894
1417.42,-25.221,70.017
1415.5,-25.252,70.141
1413.57,-25.282,70.266
1411.64,-25.313,70.391
1409.71,-25.344,70.516
1407.78,-25.375,70.642
1405.85,-25.405,70.768
1403.92,-25.436,70.894
1402,-25.467,71.02
1400.07,-25.498,71.148
1398.14,-25.529,71.275
1396.21,-25.561,71.403
1394.28,-25.592,71.532
1392.35,-25.623,71.661
1390.43,-25.654,71.789
1388.5,-25.686,71.919
1386.57,-25.717,72.049
1384.64,-25.749,72.179
1382.71,-25.781,72.31
1380.78,-25.812,72.441
1378.85,-25.844,72.573
1376.93,-25.876,72.704
1375,-25.908,72.837
1373.07,-25.94,72.969
1371.14,-25.972,73.103
1369.21,-26.004,73.236
1367.28,-26.036,73.37
1365.35,-26.069,73.505
1363.43,-26.101,73.639
1361.5,-26.133,73.775
1359.57,-26.166,73.91
1357.64,-26.198,74.047
1355.71,-26.231,74.183
1353.78,-26.264,74.32
1351.86,-26.296,74.457
1349.93,-26.329,74.595
1348,-26.362,74.733
1346.07,-26.395,74.872
1344.14,-26.428,75.011
1342.21,-26.461,75.151
1340.28,-26.495,75.291
1338.36,-26.528,75.431
1336.43,-26.561,75.572
1334.5,-26.595,75.714
1332.57,-26.628,75.856
1330.64,-26.662,75.998
1328.71,-26.695,76.141
1326.79,-26.729,76.283
1324.86,-26.763,76.427
1322.93,-26.797,76.571
1321,-26.83,76.716
1319.07,-26.864,76.861
1317.14,-26.899,77.007
1315.21,-26.933,77.153
1313.29,-26.967,77.299
1311.36,-27.001,77.446
1309.43,-27.035,77.593
1307.5,-27.07,77.742
1305.57,-27.104,77.89
1303.64,-27.139,78.039
1301.72,-27.173,78.188
1299.79,-27.208,78.338
1297.86,-27.243,78.488
1295.93,-27.278,78.639
1294,-27.313,78.791
1292.07,-27.348,78.942
1290.14,-27.383,79.095
1288.22,-27.418,79.247
1286.29,-27.453,79.401
1284.36,-27.489,79.555
1282.43,-27.524,79.709
1280.5,-27.56,79.864
1278.57,-27.595,80.02
1276.65,-27.631,80.175
1274.72,-27.666,80.331
1272.79,-27.702,80.488
1270.86,-27.738,80.646
1268.93,-27.774,80.804
1267,-27.81,80.963
1265.07,-27.846,81.122
1263.15,-27.882,81.281
1261.22,-27.918,81.441
1259.29,-27.955,81.602
1257.36,-27.991,81.763
1255.43,-28.028,81.925
1253.5,-28.064,82.088
1251.58,-28.101,82.25
1249.65,-28.137,82.413
1247.72,-28.174,82.577
1245.79,-28.211,82.742
1243.86,-28.248,82.907
1241.93,-28.285,83.073
1240,-28.322,83.239
1238.08,-28.359,83.406
1236.15,-28.396,83.573
1234.22,-28.434,83.741
1232.29,-28.471,83.91
1230.36,-28.509,84.079
1228.43,-28.546,84.249
1226.51,-28.584,84.418
1224.58,-28.622,84.589
1222.65,-28.659,84.761
1220.72,-28.697,84.933
1218.79,-28.735,85.106
1216.86,-28.773,85.279
1214.93,-28.811,85.453
1213.01,-28.849,85.627
1211.08,-28.888,85.802
1209.15,-28.926,85.978
1207.22,-28.965,86.155
1205.29,-29.003,86.332
1203.36,-29.042,86.509
1201.44,-29.08,86.687
1199.51,-29.119,86.866
1197.58,-29.158,87.045
1195.65,-29.197,87.225
1193.72,-29.236,87.406
1191.79,-29.275,87.588
1189.86,-29.314,87.77
1187.94,-29.353,87.952
1186.01,-29.393,88.135
1184.08,-29.432,88.319
1182.15,-29.472,88.504
1180.22,-29.511,88.689
1178.29,-29.551,88.875
1176.37,-29.59,89.061
1174.44,-29.63,89.249
1172.51,-29.67,89.437
1170.58,-29.71,89.625
1168.65,-29.75,89.815
1166.72,-29.79,90.005
1164.79,-29.831,90.196
1162.87,-29.871,90.386
1160.94,-29.911,90.579
1159.01,-29.952,90.771
1157.08,-29.992,90.965
1155.15,-30.033,91.159
1153.22,-30.074,91.354
1151.3,-30.114,91.549
1149.37,-30.155,91.746
1147.44,-30.196,91.943
1145.51,-30.238,92.141
1143.58,-30.279,92.339
1141.65,-30.32,92.539
1139.72,-30.361,92.739
1137.8,-30.403,92.939
1135.87,-30.444,93.14
1133.94,-30.486,93.342
1132.01,-30.527,93.545
1130.08,-30.569,93.749
1128.15,-30.611,93.954
1126.23,-30.653,94.158
1124.3,-30.695,94.364
1122.37,-30.737,94.571
1120.44,-30.779,94.779
1118.51,-30.821,94.987
1116.58,-30.864,95.197
1114.65,-30.906,95.407
1112.73,-30.948,95.616
1110.8,-30.991,95.828
1108.87,-31.034,96.04
1106.94,-31.077,96.253
1105.01,-31.119,96.467
1103.08,-31.162,96.682
1101.16,-31.205,96.897
1099.23,-31.248,97.113
1097.3,-31.292,97.331
1095.37,-31.335,97.549
1093.44,-31.378,97.768
1091.51,-31.422,97.987
1089.58,-31.465,98.208
1087.66,-31.509,98.428
1085.73,-31.553,98.651
1083.8,-31.597,98.874
1081.87,-31.64,99.098
1079.94,-31.684,99.323
1078.01,-31.729,99.549
1076.08,-31.773,99.775
1074.16,-31.817,100
1072.23,-31.861,100.23
1070.3,-31.906,100.46
1068.37,-31.95,100.69
1066.44,-31.995,100.92
1064.51,-32.04,101.15
1062.59,-32.084,101.38
1060.66,-32.129,101.62
1058.73,-32.174,101.85
1056.8,-32.219,102.09
1054.87,-32.264,102.33
1052.94,-32.31,102.56
1051.01,-32.355,102.8
1049.09,-32.4,103.04
1047.16,-32.446,103.28
1045.23,-32.491,103.52
1043.3,-32.537,103.76
1041.37,-32.583,104.01
1039.44,-32.629,104.25
1037.52,-32.674,104.5
1035.59,-32.72,104.74
1033.66,-32.766,104.99
1031.73,-32.813,105.24
1029.8,-32.859,105.49
1027.87,-32.905,105.74
1025.94,-32.952,105.99
1024.02,-32.998,106.24
1022.09,-33.045,106.49
1020.16,-33.092,106.75
1018.23,-33.139,107
1016.3,-33.186,107.26
1014.37,-33.233,107.51
1012.45,-33.279,107.77
1010.52,-33.327,108.03
1008.59,-33.374,108.29
1006.66,-33.421,108.55
